Device,iPhone,model,iPhone,version,10.2.1,AppVersion,2.7.2
Year,2017,Month,4,Day,2,Hour,0,Minute,0,Second,0,BatteryUsage, n/a
comments
File created by Mio Go v2.7.2 iPhone App.
sensor,present,smrec,zeroavg,model
pwr,no,no,no,n/a
spd,no,no,no,n/a
cad,no,no,no,n/a
hr,yes,no,no,n/a
footpod,no,no,no,n/a
gps,no,no,no,n/a
workout,starttime,runningtime,spdavg,hravg,manualdist
Y,2017-04-02 15:39:06 +0000,932,0.695089,140,173
interval,starttime,runningtime,spdavg,hravg,manualdist
1,2017-04-02 15:39:06 +0000,932,0.695089,140,173
time(seconds),hr_heartrate(1s),calories(12s),step_data(60s),manual_dist(12s),interval,pace_data(12s),speed_data(12s)
418,155,0,0,0,1,0,0
419,156,0,0,0,1,0,0
420,156,0,0,(null),1,0,0
421,157,0,0,0,1,0,0
422,157,0,0,0,1,0,0
423,158,0,0,0,1,0,0
424,158,0,0,0,1,0,0
425,158,0,0,0,1,0,0
426,158,0,0,0,1,0,0
427,158,0,0,0,1,0,0
428,158,0,0,0,1,0,0
429,155,0,0,0,1,0,0
430,155,0,0,0,1,0,0
431,155,0,0,0,1,0,0
432,155,0,0,(null),1,0,0
433,155,0,0,0,1,0,0
434,155,0,0,0,1,0,0
435,155,0,0,0,1,0,0
436,155,0,0,0,1,0,0
437,155,0,0,0,1,0,0
438,153,0,0,0,1,0,0
439,152,0,0,0,1,0,0
440,151,0,0,0,1,0,0
441,154,0,0,0,1,0,0
442,155,0,0,0,1,0,0
443,155,0,0,0,1,0,0
444,155,0,0,(null),1,0,0
445,155,0,0,0,1,0,0
446,156,0,0,0,1,0,0
447,156,0,0,0,1,0,0
448,156,0,0,0,1,0,0
449,158,0,0,0,1,0,0
450,158,0,0,0,1,0,0
451,158,0,0,0,1,0,0
452,158,0,0,0,1,0,0
453,157,0,0,0,1,0,0
454,157,0,0,0,1,0,0
455,157,0,0,0,1,0,0
456,158,0,0,(null),1,0,0
457,158,0,0,0,1,0,0
458,158,0,0,0,1,0,0
459,157,0,0,0,1,0,0
460,157,0,0,0,1,0,0
461,157,0,0,0,1,0,0
462,158,0,0,0,1,0,0
463,158,0,0,0,1,0,0
464,158,0,0,0,1,0,0
465,158,0,0,0,1,0,0
466,159,0,0,0,1,0,0
467,160,0,0,0,1,0,0
468,160,0,0,(null),1,0,0
469,161,0,0,0,1,0,0
470,160,0,0,0,1,0,0
471,160,0,0,0,1,0,0
472,160,0,0,0,1,0,0
473,159,0,0,0,1,0,0
474,158,0,0,0,1,0,0
475,158,0,0,0,1,0,0
476,157,0,0,0,1,0,0
477,157,0,0,0,1,0,0
478,156,0,0,0,1,0,0
479,156,0,0,0,1,0,0
480,156,0,0,(null),1,0,0
481,156,0,0,0,1,0,0
482,156,0,0,0,1,0,0
483,156,0,0,0,1,0,0
484,157,0,0,0,1,0,0
485,158,0,0,0,1,0,0
486,158,0,0,0,1,0,0
487,157,0,0,0,1,0,0
488,157,0,0,0,1,0,0
489,158,0,0,0,1,0,0
490,158,0,0,0,1,0,0
491,158,0,0,0,1,0,0
492,158,0,0,(null),1,0,0
493,159,0,0,0,1,0,0
494,159,0,0,0,1,0,0
495,159,0,0,0,1,0,0
496,159,0,0,0,1,0,0
497,159,0,0,0,1,0,0
498,160,0,0,0,1,0,0
499,159,0,0,0,1,0,0
500,159,0,0,0,1,0,0
501,159,0,0,0,1,0,0
502,159,0,0,0,1,0,0
503,159,0,0,0,1,0,0
504,159,0,0,(null),1,0,0
505,159,0,0,0,1,0,0
506,158,0,0,0,1,0,0
507,158,0,0,0,1,0,0
508,158,0,0,0,1,0,0
509,159,0,0,0,1,0,0
510,159,0,0,0,1,0,0
